Date;Time;CO(GT);PT08.S1(CO);NMHC(GT);C6H6(GT);PT08.S2(NMHC);NOx(GT);PT08.S3(NOx);NO2(GT);PT08.S4(NO2);PT08.S5(O3);T;RH;AH
12/03/2004;09.00.00;;1545;;22,1;1353;;767;;2058;1588;9,2;56,2;0,6561
12/03/2004;10.00.00;3,1;1350;208.0;14,0;1118;187.0;912;122.0;1712;1237;13,2;41,7;0,632
12/03/2004;11.00.00;2,7;1263;166.0;11,6;1037;216.0;969;143.0;1598;1167;14,3;38,4;0,6243
12/03/2004;12.00.00;2,1;1206;114.0;10,2;986;143.0;1035;113.0;1537;959;15,0;36,5;0,6195
12/03/2004;13.00.00;2,5;1252;140.0;11,0;1016;160.0;1008;116.0;1593;983;16,1;34,5;0,6262
12/03/2004;14.00.00;2,7;1287;169.0;12,8;1078;163.0;949;123.0;1660;1061;16,3;35,7;0,656
12/03/2004;15.00.00;2,9;1353;185.0;14,2;1122;190.0;922;126.0;1740;1139;15,8;37,0;0,661
12/03/2004;16.00.00;2,8;1309;165.0;12,7;1073;178.0;954;120.0;1657;1112;15,9;37,2;0,6657
12/03/2004;17.00.00;2,4;1274;133.0;11,7;1041;150.0;1006;119.0;1610;994;16,9;34,3;0,6549
12/03/2004;18.00.00;3,9;1510;233.0;19,3;1277;206.0;812;149.0;1910;1410;15,1;39,6;0,6766
12/03/2004;19.00.00;3,7;1525;242.0;18,2;1246;202.0;821;145.0;1847;1448;14,4;43,4;0,7084
12/03/2004;20.00.00;6,6;1843;488.0;32,6;1610;340.0;624;170.0;2390;1887;12,9;50,5;0,7478
12/03/2004;21.00.00;4,4;1598;333.0;20,1;1299;274.0;752;149.0;1941;1627;12,1;53,3;0,7536
12/03/2004;22.00.00;3,5;1484;215.0;14,3;1127;253.0;839;139.0;1723;1491;11,0;59,1;0,774
12/03/2004;23.00.00;5,4;1677;367.0;21,8;1346;300.0;741;134.0;2062;1657;9,7;64,6;0,7771
13/03/2004;00.00.00;2,7;1280;122.0;9,6;964;193.0;963;113.0;1544;1285;9,5;64,1;0,7597
13/03/2004;01.00.00;1,9;1196;67.0;7,4;873;139.0;1071;97.0;1463;1144;9,1;63,9;0,7423
13/03/2004;02.00.00;1,6;1184;43.0;5,4;782;83.0;1176;82.0;1365;1043;8,8;63,9;0,7256
13/03/2004;03.00.00;1,7;1172;46.0;5,4;783;;1179;;1380;996;7,8;67,5;0,7173
13/03/2004;04.00.00;;1147;56.0;6,2;821;109.0;1132;83.0;1412;992;7,0;71,1;0,7158
13/03/2004;05.00.00;1,0;978;30.0;2,6;625;62.0;1420;65.0;1274;819;8,3;63,6;0,6982
13/03/2004;06.00.00;1,2;1100;27.0;2,9;646;53.0;1406;60.0;1268;835;7,2;67,5;0,6887
13/03/2004;07.00.00;1,5;1112;47.0;5,1;770;139.0;1228;77.0;1409;940;6,3;71,9;0,6932
13/03/2004;08.00.00;2,7;1336;132.0;11,8;1043;256.0;935;96.0;1678;1192;6,5;71,6;0,6945
13/03/2004;09.00.00;3,7;1408;239.0;15,1;1153;295.0;830;119.0;1777;1411;9,6;59,7;0,7124
13/03/2004;10.00.00;3,2;1447;160.0;12,9;1081;250.0;869;126.0;1667;1465;12,4;51,2;0,7335
13/03/2004;11.00.00;4,1;1542;283.0;16,1;1184;296.0;808;158.0;1780;1583;15,6;42,2;0,7451
13/03/2004;12.00.00;3,6;1451;210.0;14,0;1117;239.0;875;161.0;1679;1387;18,4;33,8;0,709
13/03/2004;13.00.00;2,8;1328;154.0;12,3;1059;153.0;987;124.0;1600;1101;19,4;31,3;0,695
13/03/2004;14.00.00;2,0;1207;112.0;8,6;924;118.0;1088;102.0;1488;850;18,0;34,8;0,7127
13/03/2004;15.00.00;2,0;1240;108.0;9,2;947;119.0;1049;116.0;1532;947;18,4;33,6;0,7042
13/03/2004;16.00.00;2,5;1306;111.0;10,2;987;138.0;1004;124.0;1554;1078;17,6;35,1;0,7012
13/03/2004;17.00.00;2,3;1326;97.0;10,6;1000;148.0;976;125.0;1602;1084;16,7;37,8;0,7117
13/03/2004;18.00.00;3,2;1473;191.0;15,5;1163;227.0;831;148.0;1779;1395;16,1;41,0;0,7451
13/03/2004;19.00.00;4,2;1609;258.0;19,6;1286;277.0;758;165.0;1922;1612;15,8;42,4;0,7569
13/03/2004;20.00.00;4,2;1611;284.0;19,2;1274;279.0;754;161.0;1915;1697;15,7;44,1;0,7786
13/03/2004;21.00.00;4,2;1621;269.0;18,3;1247;283.0;762;159.0;1860;1886;15,3;46,8;0,8091
13/03/2004;22.00.00;3,1;1444;180.0;13,1;1089;214.0;844;143.0;1748;1624;14,6;48,6;0,806
13/03/2004;23.00.00;2,6;1418;116.0;10,9;1010;172.0;892;130.0;1603;1536;14,7;49,3;0,8193
14/03/2004;00.00.00;2,9;1534;93.0;11,0;1013;190.0;889;129.0;1611;1535;13,9;53,6;0,8498
14/03/2004;01.00.00;2,8;1484;131.0;11,9;1045;174.0;880;119.0;1624;1530;14,6;51,5;0,8536
14/03/2004;02.00.00;2,5;1367;92.0;8,6;925;128.0;953;104.0;1543;1337;12,5;58,9;0,8537
14/03/2004;03.00.00;2,4;1344;132.0;9,7;968;;921;;1620;1278;11,6;63,4;0,8674
14/03/2004;04.00.00;;1130;56.0;5,2;773;70.0;1130;82.0;1452;1051;12,1;61,1;0,8603
14/03/2004;05.00.00;1,2;1062;32.0;3,7;691;53.0;1272;70.0;1377;929;11,5;63,1;0,8533
14/03/2004;06.00.00;1,0;1076;29.0;2,5;618;44.0;1395;63.0;1333;872;11,6;62,2;0,8473
14/03/2004;07.00.00;0,9;1028;27.0;2,4;615;74.0;1384;67.0;1340;853;10,4;67,6;0,853
14/03/2004;08.00.00;1,4;1155;36.0;4,2;722;101.0;1225;84.0;1414;959;11,6;62,7;0,853
14/03/2004;09.00.00;1,6;1235;57.0;6,4;828;118.0;1055;83.0;1527;1093;12,4;60,0;0,8627
14/03/2004;10.00.00;2,2;1332;129.0;8,6;923;144.0;952;98.0;1614;1225;14,5;53,1;0,8728
14/03/2004;11.00.00;2,8;1445;148.0;10,9;1009;176.0;878;114.0;1696;1355;16,9;46,1;0,8789
14/03/2004;12.00.00;2,8;1416;145.0;10,7;1002;161.0;907;119.0;1677;1262;19,3;38,3;0,8474
14/03/2004;13.00.00;2,0;1281;93.0;7,5;880;113.0;1084;104.0;1525;980;21,2;31,4;0,7812
14/03/2004;14.00.00;1,8;1207;84.0;7,5;879;103.0;1104;102.0;1490;872;21,4;30,2;0,7616
14/03/2004;15.00.00;1,9;1258;99.0;8,2;906;112.0;1081;107.0;1511;900;21,9;29,0;0,7525
14/03/2004;16.00.00;3,0;1458;150.0;11,9;1045;170.0;974;129.0;1646;1099;22,2;28,4;0,7516
14/03/2004;17.00.00;2,9;1438;156.0;12,0;1051;180.0;943;128.0;1668;1206;21,3;30,8;0,7696
14/03/2004;18.00.00;2,5;1478;122.0;12,2;1055;160.0;929;121.0;1671;1262;19,7;36,7;0,8307
14/03/2004;19.00.00;4,6;1808;262.0;20,6;1312;261.0;753;157.0;1993;1698;18,4;41,7;0,8732
14/03/2004;20.00.00;5,9;1898;341.0;23,1;1381;325.0;681;173.0;2103;1905;17,6;46,1;0,921
14/03/2004;21.00.00;3,4;1560;214.0;14,7;1140;217.0;784;146.0;1818;1648;16,7;49,6;0,932
14/03/2004;22.00.00;2,1;1324;100.0;9,0;940;146.0;924;121.0;1587;1423;16,3;51,0;0,9341
14/03/2004;23.00.00;2,2;1349;79.0;8,8;933;152.0;933;119.0;1617;1349;14,7;55,9;0,9314
15/03/2004;00.00.00;1,8;1239;66.0;7,4;872;104.0;985;99.0;1547;1250;14,8;54,7;0,9164
15/03/2004;01.00.00;1,8;1239;73.0;6,9;853;106.0;1010;93.0;1543;1174;14,0;57,0;0,9094
15/03/2004;02.00.00;1,8;1224;66.0;7,0;855;108.0;998;88.0;1566;1149;13,4;61,3;0,9361
15/03/2004;03.00.00;1,1;1078;44.0;4,4;734;;1128;;1487;1021;12,6;63,5;0,923
15/03/2004;04.00.00;;1078;44.0;4,0;711;66.0;1150;71.0;1468;1013;12,3;65,4;0,9351
15/03/2004;05.00.00;1,0;1075;39.0;3,9;703;88.0;1156;74.0;1464;1010;11,9;67,4;0,9375
15/03/2004;06.00.00;1,4;1157;51.0;6,4;830;138.0;1030;80.0;1584;1083;11,4;70,5;0,9475
15/03/2004;07.00.00;2,2;1314;107.0;9,7;966;228.0;897;89.0;1710;1235;11,3;70,2;0,9401
15/03/2004;08.00.00;5,5;1797;336.0;25,9;1451;360.0;652;114.0;2323;1680;12,4;63,9;0,917
15/03/2004;09.00.00;8,1;1961;618.0;36,7;1701;478.0;537;149.0;2665;2184;14,8;54,3;0,9076
15/03/2004;10.00.00;5,8;1771;438.0;26,6;1470;394.0;622;157.0;2262;1973;17,4;45,6;0,8993
15/03/2004;11.00.00;4,2;1564;334.0;20,1;1300;319.0;710;155.0;2029;1798;19,8;38,5;0,8801
15/03/2004;12.00.00;3,1;1430;221.0;14,1;1120;201.0;831;134.0;1783;1522;22,0;34,1;0,8904
15/03/2004;13.00.00;2,9;1417;207.0;14,9;1146;171.0;830;119.0;1831;1404;23,3;32,2;0,9096
15/03/2004;14.00.00;2,9;1400;191.0;15,4;1162;159.0;838;111.0;1829;1263;23,9;30,0;0,8757
15/03/2004;15.00.00;2,5;1317;185.0;12,1;1053;153.0;926;104.0;1707;1137;24,4;28,9;0,8736
15/03/2004;16.00.00;2,3;1318;141.0;11,5;1033;143.0;950;99.0;1675;1068;24,4;29,4;0,8848
15/03/2004;17.00.00;2,8;1445;214.0;14,8;1141;156.0;857;110.0;1824;1252;23,8;31,3;0,9137
15/03/2004;18.00.00;6,1;1917;471.0;32,1;1601;314.0;631;162.0;2447;1843;22,5;35,4;0,9547
15/03/2004;19.00.00;8,0;2040;685.0;39,2;1754;404.0;542;187.0;2679;2122;20,4;42,5;1,0086
15/03/2004;20.00.00;6,5;1895;538.0;31,0;1573;320.0;565;165.0;2443;1992;18,3;52,6;1,0945
15/03/2004;21.00.00;4,2;1595;319.0;19,9;1294;256.0;678;145.0;2058;1707;16,7;57,4;1,0786
15/03/2004;22.00.00;3,2;1439;224.0;15,3;1159;193.0;764;125.0;1856;1494;15,7;60,2;1,0654
15/03/2004;23.00.00;1,4;1142;67.0;6,9;852;89.0;1008;101.0;1547;1164;15,3;61,4;1,058
16/03/2004;00.00.00;2,1;1304;155.0;11,1;1019;127.0;852;103.0;1731;1272;14,1;65,7;1,0494
16/03/2004;01.00.00;1,2;1074;49.0;5,4;784;79.0;1098;88.0;1483;1040;14,8;60,6;1,0148
16/03/2004;02.00.00;0,8;968;29.0;2,8;640;43.0;1320;61.0;1386;867;14,8;59,2;0,9879
16/03/2004;03.00.00;0,7;929;25.0;2,3;608;;1376;;1364;826;13,6;62,1;0,9636
16/03/2004;04.00.00;;941;25.0;2,6;626;59.0;1316;59.0;1373;840;12,3;66,2;0,945
16/03/2004;05.00.00;0,6;937;17.0;2,0;585;38.0;1412;52.0;1348;793;12,8;63,2;0,9283
16/03/2004;06.00.00;0,9;1017;27.0;3,5;681;82.0;1246;64.0;1418;870;11,2;68,5;0,9081
16/03/2004;07.00.00;1,3;1171;50.0;5,1;770;99.0;1162;70.0;1467;930;11,0;66,5;0,8705
16/03/2004;08.00.00;3,4;1541;218.0;16,2;1185;263.0;770;97.0;1889;1407;11,7;63,7;0,8719
16/03/2004;09.00.00;3,7;1539;285.0;19,7;1287;229.0;698;95.0;2055;1507;13,6;56,3;0,8743
16/03/2004;10.00.00;5,3;1735;437.0;25,1;1431;396.0;628;150.0;2211;1843;17,8;42,9;0,8672
16/03/2004;11.00.00;4,1;1571;327.0;20,0;1297;314.0;730;162.0;1973;1729;21,4;33,3;0,8417
16/03/2004;12.00.00;3,3;1452;283.0;18,3;1250;217.0;776;154.0;1868;1583;24,4;27,4;0,8231
16/03/2004;13.00.00;4,0;1579;366.0;22,3;1359;252.0;724;161.0;1998;1671;25,3;26,1;0,8264
16/03/2004;14.00.00;3,8;1466;318.0;20,4;1309;263.0;773;161.0;1897;1491;25,8;23,2;0,7589
16/03/2004;15.00.00;2,8;1280;228.0;14,6;1136;180.0;893;128.0;1675;1240;27,0;20,2;0,7094
16/03/2004;16.00.00;2,9;1407;201.0;16,6;1197;184.0;905;129.0;1759;1313;28,2;18,6;0,7014
16/03/2004;17.00.00;2,9;1389;199.0;15,8;1173;190.0;898;133.0;1739;1363;28,0;19,1;0,7098
16/03/2004;18.00.00;3,4;1447;237.0;17,8;1235;184.0;859;139.0;1778;1296;23,9;25,7;0,7519
16/03/2004;19.00.00;3,9;1551;261.0;19,1;1271;181.0;800;137.0;1875;1432;21,3;34,8;0,873
16/03/2004;20.00.00;3,2;1474;230.0;15,8;1173;166.0;854;143.0;1776;1432;20,4;36,7;0,8704
16/03/2004;21.00.00;5,1;1800;349.0;24,9;1426;317.0;700;177.0;2106;2034;19,0;41,3;0,9007
16/03/2004;22.00.00;2,6;1379;183.0;13,5;1101;184.0;818;138.0;1710;1602;17,9;45,9;0,9342
16/03/2004;23.00.00;1,7;1201;88.0;9,1;943;130.0;935;117.0;1560;1362;16,7;48,9;0,9226
17/03/2004;00.00.00;1,7;1205;85.0;8,6;925;132.0;922;107.0;1547;1314;15,5;52,9;0,9271
17/03/2004;01.00.00;1,2;1072;47.0;5,4;784;95.0;1066;90.0;1442;1114;15,5;51,9;0,9059
17/03/2004;02.00.00;0,9;998;34.0;4,1;714;70.0;1169;79.0;1383;992;14,1;55,6;0,891
17/03/2004;03.00.00;0,7;933;26.0;2,6;625;;1292;;1332;884;13,1;57,9;0,8666
17/03/2004;04.00.00;;883;17.0;1,9;577;54.0;1396;60.0;1303;808;12,7;57,9;0,8447
17/03/2004;05.00.00;0,5;869;11.0;1,6;554;28.0;1460;40.0;1268;667;11,8;58,0;0,8026
17/03/2004;06.00.00;0,5;891;18.0;1,9;576;46.0;1417;53.0;1289;733;11,9;57,4;0,7978
17/03/2004;07.00.00;1,6;1173;84.0;7,5;878;160.0;1038;84.0;1556;1052;9,9;65,2;0,7956
17/03/2004;08.00.00;4,1;1587;260.0;21,4;1334;320.0;702;108.0;1999;1534;11,1;60,2;0,7958
17/03/2004;09.00.00;6,6;1852;534.0;36,4;1696;377.0;553;127.0;2535;1931;14,1;50,0;0,802
17/03/2004;10.00.00;4,3;1522;368.0;21,3;1331;280.0;703;134.0;2026;1734;17,7;40,1;0,8048
17/03/2004;11.00.00;2,9;1438;200.0;15,4;1161;221.0;819;135.0;1782;1595;21,1;33,4;0,8265
17/03/2004;12.00.00;2,5;1393;145.0;12,5;1067;210.0;905;142.0;1654;1490;24,3;28,3;0,8471
17/03/2004;13.00.00;2,8;1452;188.0;15,1;1152;204.0;861;153.0;1747;1508;25,6;25,6;0,8254
17/03/2004;14.00.00;2,6;1389;152.0;13,7;1108;161.0;887;123.0;1712;1334;25,9;25,9;0,8503
17/03/2004;15.00.00;2,0;1207;103.0;10,4;994;135.0;1013;104.0;1520;1045;26,8;18,7;0,65
17/03/2004;16.00.00;2,9;1365;193.0;15,2;1154;186.0;940;129.0;1679;1221;29,3;15,8;0,6309
17/03/2004;17.00.00;2,5;1247;134.0;12,3;1060;147.0;1032;114.0;1525;1069;28,5;14,9;0,5708
17/03/2004;18.00.00;5,0;1557;386.0;27,0;1478;299.0;793;158.0;1981;1569;25,9;16,0;0,5237
17/03/2004;19.00.00;7,6;1973;577.0;38,4;1737;411.0;617;194.0;2414;2306;23,1;26,5;0,7403
17/03/2004;20.00.00;6,7;1975;523.0;35,1;1667;347.0;597;182.0;2416;2359;20,5;38,2;0,9133
17/03/2004;21.00.00;5,7;1795;472.0;27,2;1485;336.0;653;180.0;2174;2050;19,1;42,6;0,9294
17/03/2004;22.00.00;2,8;1444;206.0;15,0;1150;202.0;770;136.0;1727;1727;17,2;44,1;0,8558
17/03/2004;23.00.00;2,6;1488;216.0;15,7;1171;178.0;731;127.0;1778;1705;16,0;50,9;0,9206
18/03/2004;00.00.00;2,3;1371;159.0;13,0;1083;154.0;796;116.0;1669;1551;14,8;53,9;0,9024
18/03/2004;01.00.00;1,4;1161;70.0;8,1;904;92.0;947;107.0;1502;1240;14,3;55,4;0,8975
18/03/2004;02.00.00;1,0;1064;44.0;5,5;787;61.0;1057;88.0;1407;1115;14,8;52,1;0,8686
18/03/2004;03.00.00;0,7;970;42.0;3,6;687;;1196;;1351;969;13,9;53,9;0,8501
18/03/2004;04.00.00;;954;28.0;2,9;645;60.0;1260;78.0;1334;925;11,6;61,9;0,8442
18/03/2004;05.00.00;0,6;931;20.0;2,5;623;37.0;1293;57.0;1307;828;12,0;58,9;0,8233
18/03/2004;06.00.00;0,7;938;26.0;3,0;650;68.0;1251;71.0;1333;893;10,9;62,1;0,8113
18/03/2004;07.00.00;1,5;1166;78.0;7,7;885;139.0;1005;85.0;1551;1075;10,6;63,3;0,8067
18/03/2004;08.00.00;4,7;1643;319.0;23,3;1384;339.0;667;124.0;2094;1610;11,5;60,0;0,8117
18/03/2004;09.00.00;6,6;1934;506.0;35,8;1682;421.0;541;151.0;2468;2051;14,3;50,6;0,8186
18/03/2004;10.00.00;4,5;1617;;21,3;1333;349.0;686;150.0;2010;1819;17,8;40,5;0,821
18/03/2004;11.00.00;2,8;1473;;14,3;1127;224.0;831;152.0;1752;1568;20,8;34,4;0,8365
18/03/2004;12.00.00;2,2;1379;;12,5;1068;171.0;899;139.0;1663;1374;23,8;28,2;0,8219
18/03/2004;13.00.00;2,2;1385;;12,2;1056;149.0;891;133.0;1648;1268;24,2;28,7;0,8515
18/03/2004;14.00.00;2,3;1379;;13,1;1087;137.0;901;126.0;1660;1144;25,2;24,9;0,7829
18/03/2004;15.00.00;2,2;1322;;14,4;1129;149.0;934;128.0;1639;1109;27,0;17,8;0,6275
18/03/2004;16.00.00;2,8;1496;;16,8;1205;172.0;822;169.0;1767;1347;27,1;23,1;0,818
18/03/2004;17.00.00;2,7;1409;;14,5;1131;166.0;873;149.0;1689;1206;25,8;23,9;0,7832
18/03/2004;18.00.00;3,7;1513;;21,5;1338;214.0;764;156.0;1957;1397;23,0;26,8;0,7446
18/03/2004;19.00.00;5,1;1667;;26,4;1464;280.0;683;168.0;2118;1588;20,7;31,1;0,7523
18/03/2004;20.00.00;5,1;1667;;26,0;1453;276.0;684;176.0;2051;1569;18,6;36,2;0,7676
18/03/2004;21.00.00;3,2;1430;;14,1;1121;178.0;814;135.0;1732;1322;16,0;48,4;0,8768
18/03/2004;22.00.00;2,1;1333;;10,3;989;129.0;885;121.0;1621;1194;14,5;57,8;0,9456
18/03/2004;23.00.00;1,7;1262;;8,3;911;95.0;948;99.0;1545;1062;13,1;64,2;0,9606
19/03/2004;00.00.00;2,0;1287;;8,9;936;126.0;918;106.0;1606;1040;12,0;69,7;0,9735
19/03/2004;01.00.00;1,6;1134;;6,6;840;103.0;1021;96.0;1501;917;11,9;71,1;0,9915
19/03/2004;02.00.00;0,9;999;;3,6;688;48.0;1229;63.0;1380;594;12,5;69,3;1,0029
19/03/2004;03.00.00;0,7;961;;2,5;622;;1382;;1301;430;12,5;67,5;0,9768
19/03/2004;04.00.00;;934;;1,8;569;20.0;1440;32.0;1280;397;12,3;67,7;0,9665
19/03/2004;05.00.00;0,5;913;;1,3;525;18.0;1620;28.0;1260;370;12,5;66,8;0,962
19/03/2004;06.00.00;0,7;969;;2,3;607;56.0;1373;61.0;1324;438;12,3;66,3;0,9487
19/03/2004;07.00.00;1,5;1182;;6,7;845;115.0;1054;99.0;1539;704;12,4;64,9;0,9332
19/03/2004;08.00.00;4,8;1740;;22,8;1372;320.0;671;157.0;2144;1476;13,0;61,6;0,9209
19/03/2004;09.00.00;6,2;1819;;31,3;1582;357.0;575;166.0;2456;1716;13,6;58,8;0,912
19/03/2004;10.00.00;4,0;1427;;19,2;1275;253.0;701;149.0;1980;1398;13,9;57,1;0,9032
19/03/2004;11.00.00;3,3;1390;;16,4;1191;218.0;759;135.0;1879;1268;14,5;54,4;0,8917
19/03/2004;12.00.00;2,8;1283;;14,0;1117;192.0;813;127.0;1751;1188;15,5;50,1;0,8744
19/03/2004;13.00.00;3,0;1304;;15,3;1157;176.0;793;122.0;1801;1171;16,1;47,6;0,8655
19/03/2004;14.00.00;3,3;1364;;16,7;1202;198.0;771;135.0;1875;1250;16,3;47,1;0,864
19/03/2004;15.00.00;3,5;1410;;19,0;1268;212.0;724;139.0;1957;1344;16,4;47,5;0,8791
19/03/2004;16.00.00;4,0;1476;;19,4;1280;249.0;708;147.0;1955;1378;16,1;50,2;0,9094
19/03/2004;17.00.00;4,6;1522;;20,9;1320;270.0;690;158.0;2005;1435;16,0;50,7;0,9142
19/03/2004;18.00.00;4,1;1442;;20,2;1301;231.0;704;146.0;1952;1372;15,8;50,3;0,8989
19/03/2004;19.00.00;4,5;1469;;21,7;1344;251.0;677;144.0;1997;1471;15,5;50,6;0,884
19/03/2004;20.00.00;3,9;1467;;19,8;1292;210.0;698;138.0;1942;1439;15,4;51,4;0,8956
19/03/2004;21.00.00;4,0;1421;;16,7;1202;249.0;748;143.0;1854;1429;15,2;53,1;0,9117
19/03/2004;22.00.00;2,2;1175;;9,1;945;143.0;904;116.0;1604;1081;14,7;57,6;0,9573
19/03/2004;23.00.00;2,1;1215;;8,3;912;127.0;948;109.0;1547;993;14,2;58,3;0,938
20/03/2004;00.00.00;1,7;1127;;5,8;802;104.0;1064;92.0;1447;837;13,8;57,9;0,9085
20/03/2004;01.00.00;1,6;1090;;5,2;773;86.0;1105;83.0;1429;761;13,9;55,9;0,8842
20/03/2004;02.00.00;1,3;1017;;4,1;718;74.0;1182;81.0;1382;650;13,9;55,6;0,8765
20/03/2004;03.00.00;1,3;997;;3,4;677;;1252;;1359;591;13,8;55,1;0,8666
20/03/2004;04.00.00;;945;;2,9;646;44.0;1308;55.0;1332;505;13,8;54,6;0,8574
20/03/2004;05.00.00;0,8;956;;3,1;661;42.0;1260;53.0;1351;518;13,6;55,1;0,856
20/03/2004;06.00.00;0,8;966;;2,5;622;63.0;1317;67.0;1342;571;13,6;59,0;0,9129
20/03/2004;07.00.00;1,1;1064;;4,3;728;115.0;1161;91.0;1461;842;13,5;58,4;0,896
20/03/2004;08.00.00;2,1;1300;;8,9;935;170.0;902;113.0;1623;1145;13,8;58,0;0,9083
20/03/2004;09.00.00;2,4;1348;;10,5;998;147.0;834;102.0;1689;1218;14,6;53,1;0,8765
20/03/2004;10.00.00;2,6;1425;;12,5;1068;166.0;776;107.0;1764;1341;15,0;52,3;0,8881
20/03/2004;11.00.00;2,8;1474;;12,3;1061;195.0;768;113.0;1768;1406;15,4;52,1;0,9046
20/03/2004;12.00.00;2,6;1490;;11,7;1039;182.0;782;108.0;1757;1422;16,3;50,0;0,9158
20/03/2004;13.00.00;2,6;1495;;11,7;1040;168.0;809;105.0;1735;1373;17,1;47,9;0,9281
